id,title,city,country,company,size_of_company,company_field,date_of_publication,number_of_applicants,type_of_employment,skills,vacancy
198,Consultant Power BI – Data Analyst (F/H),Paris,France,Novencia Group,201-500,Information Technology & Services,2023-05-09,207.0,Hybrid,power bi,data analyst
198,Consultant Power BI – Data Analyst (F/H),Paris,France,Novencia Group,201-500,Information Technology & Services,2023-05-09,207.0,Hybrid,качество данных,data analyst
198,Consultant Power BI – Data Analyst (F/H),Paris,France,Novencia Group,201-500,Information Technology & Services,2023-05-09,207.0,Hybrid,витрины данных,data analyst
199,Data Analyst,Bologna,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-16,110.0,Hybrid,dashboard,data analyst
199,Data Analyst,Bologna,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-16,110.0,Hybrid,etl,data analyst
199,Data Analyst,Bologna,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-16,110.0,Hybrid,python,data analyst
199,Data Analyst,Bologna,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-16,110.0,Hybrid,sql,data analyst
199,Data Analyst,Bologna,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-16,110.0,Hybrid,javascript,data analyst
200,(Junior) Consumer Business Intelligence Analyst (m/w/d),Neuss,Germany,Kenvue,"10,001+",Retail Health and Personal Care Products,2023-05-17,22.0,Hybrid,excel,business analyst
200,(Junior) Consumer Business Intelligence Analyst (m/w/d),Neuss,Germany,Kenvue,"10,001+",Retail Health and Personal Care Products,2023-05-17,22.0,Hybrid,power bi,business analyst
200,(Junior) Consumer Business Intelligence Analyst (m/w/d),Neuss,Germany,Kenvue,"10,001+",Retail Health and Personal Care Products,2023-05-17,22.0,Hybrid,tableau,business analyst
200,(Junior) Consumer Business Intelligence Analyst (m/w/d),Neuss,Germany,Kenvue,"10,001+",Retail Health and Personal Care Products,2023-05-17,22.0,Hybrid,microsoft office,business analyst
200,(Junior) Consumer Business Intelligence Analyst (m/w/d),Neuss,Germany,Kenvue,"10,001+",Retail Health and Personal Care Products,2023-05-17,22.0,Hybrid,powerpoint,business analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site, ai,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,azure,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,azure data factory,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,data factory,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,databricks,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,etl,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,excel,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,java,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,javascript,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,powerbi,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,powerpivot,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,powerquery,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,python,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,sql,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,microsoft dynamics nav,data analyst
201,Data Analist,Hasselt,Belgium,Comfort Energy Group,201-500,Oil and Gas,2023-05-16,108.0,On-site,французский язык,data analyst
202,Conversion Master Data Analyst to Procter & Gamble,Stockholm,Sweden,MultiMind Bemanning AB,51-200,Staffing and Recruiting,2023-04-25,95.0,Hybrid,power bi,data analyst
202,Conversion Master Data Analyst to Procter & Gamble,Stockholm,Sweden,MultiMind Bemanning AB,51-200,Staffing and Recruiting,2023-04-25,95.0,Hybrid,sap,data analyst
202,Conversion Master Data Analyst to Procter & Gamble,Stockholm,Sweden,MultiMind Bemanning AB,51-200,Staffing and Recruiting,2023-04-25,95.0,Hybrid,английский язык,data analyst
202,Conversion Master Data Analyst to Procter & Gamble,Stockholm,Sweden,MultiMind Bemanning AB,51-200,Staffing and Recruiting,2023-04-25,95.0,Hybrid,microsoft excel,data analyst
203,Consultant (m/w/d) - Business Intelligence,Berlin,Germany,P3,"1,001-5,000",Business Consulting and Services,2023-05-09,58.0,Hybrid,api,business analyst
203,Consultant (m/w/d) - Business Intelligence,Berlin,Germany,P3,"1,001-5,000",Business Consulting and Services,2023-05-09,58.0,Hybrid,azure,business analyst
203,Consultant (m/w/d) - Business Intelligence,Berlin,Germany,P3,"1,001-5,000",Business Consulting and Services,2023-05-09,58.0,Hybrid,power bi,business analyst
203,Consultant (m/w/d) - Business Intelligence,Berlin,Germany,P3,"1,001-5,000",Business Consulting and Services,2023-05-09,58.0,Hybrid,python,business analyst
203,Consultant (m/w/d) - Business Intelligence,Berlin,Germany,P3,"1,001-5,000",Business Consulting and Services,2023-05-09,58.0,Hybrid,компьютерная наука,business analyst
203,Consultant (m/w/d) - Business Intelligence,Berlin,Germany,P3,"1,001-5,000",Business Consulting and Services,2023-05-09,58.0,Hybrid,xml,business analyst
204,Monitoring & Data Analyst (Solar PV),Bath,United Kingdom,ecocareers,1-10,Staffing and Recruiting,2023-05-19,4.0,Hybrid,excel,data analyst
205,Data Analyst / Data Scientist (m/f/d),Dresden,Germany,A. Lange & Söhne,"501-1,000",Retail Luxury Goods and Jewelry,2023-05-16,83.0,Hybrid,looker,data analyst
205,Data Analyst / Data Scientist (m/f/d),Dresden,Germany,A. Lange & Söhne,"501-1,000",Retail Luxury Goods and Jewelry,2023-05-16,83.0,Hybrid,power bi,data analyst
205,Data Analyst / Data Scientist (m/f/d),Dresden,Germany,A. Lange & Söhne,"501-1,000",Retail Luxury Goods and Jewelry,2023-05-16,83.0,Hybrid,business case preparation,data analyst
205,Data Analyst / Data Scientist (m/f/d),Dresden,Germany,A. Lange & Söhne,"501-1,000",Retail Luxury Goods and Jewelry,2023-05-16,83.0,Hybrid,панель управления,data analyst
206,Data Analyst – Web & App (m/w/d),Cologne,Germany,OBI next,"10,001+",Retail,2023-05-02,85.0,Hybrid,looker,data analyst
206,Data Analyst – Web & App (m/w/d),Cologne,Germany,OBI next,"10,001+",Retail,2023-05-02,85.0,Hybrid,qlikview,data analyst
206,Data Analyst – Web & App (m/w/d),Cologne,Germany,OBI next,"10,001+",Retail,2023-05-02,85.0,Hybrid,tableau,data analyst
206,Data Analyst – Web & App (m/w/d),Cologne,Germany,OBI next,"10,001+",Retail,2023-05-02,85.0,Hybrid,sql,data analyst
206,Data Analyst – Web & App (m/w/d),Cologne,Germany,OBI next,"10,001+",Retail,2023-05-02,85.0,Hybrid,python,data analyst
207,Data Analyst (m/w/d),Wiesbaden,Germany,venITure,51-200,Information Technology & Services,2023-05-16,102.0,On-site,looker,data analyst
207,Data Analyst (m/w/d),Wiesbaden,Germany,venITure,51-200,Information Technology & Services,2023-05-16,102.0,On-site,английский язык,data analyst
207,Data Analyst (m/w/d),Wiesbaden,Germany,venITure,51-200,Information Technology & Services,2023-05-16,102.0,On-site,компьютерная наука,data analyst
208,Data Analyst (m/w/d),Munster,Germany,Eucon Group,"501-1,000",Information Technology & Services,2023-05-16,44.0,Hybrid,etl,data analyst
208,Data Analyst (m/w/d),Munster,Germany,Eucon Group,"501-1,000",Information Technology & Services,2023-05-16,44.0,Hybrid,excel,data analyst
208,Data Analyst (m/w/d),Munster,Germany,Eucon Group,"501-1,000",Information Technology & Services,2023-05-16,44.0,Hybrid,английский язык,data analyst
208,Data Analyst (m/w/d),Munster,Germany,Eucon Group,"501-1,000",Information Technology & Services,2023-05-16,44.0,Hybrid,sql,data analyst
209,Data Analyst,Utrecht,Netherlands,bol.com,"1,001-5,000",Retail,2023-05-16,52.0,Hybrid,airflow,data analyst
209,Data Analyst,Utrecht,Netherlands,bol.com,"1,001-5,000",Retail,2023-05-16,52.0,Hybrid,dbt,data analyst
209,Data Analyst,Utrecht,Netherlands,bol.com,"1,001-5,000",Retail,2023-05-16,52.0,Hybrid,git,data analyst
209,Data Analyst,Utrecht,Netherlands,bol.com,"1,001-5,000",Retail,2023-05-16,52.0,Hybrid,sql,data analyst
209,Data Analyst,Utrecht,Netherlands,bol.com,"1,001-5,000",Retail,2023-05-16,52.0,Hybrid,tableau,data analyst
209,Data Analyst,Utrecht,Netherlands,bol.com,"1,001-5,000",Retail,2023-05-16,52.0,Hybrid,python,data analyst
209,Data Analyst,Utrecht,Netherlands,bol.com,"1,001-5,000",Retail,2023-05-16,52.0,Hybrid,аналитические навыки,data analyst
210,Data Analyst (m/w/d),Mulheim an der Ruhr,Germany,Charisma-Tec GmbH,1-10,Human Resources Services,2023-05-17,11.0,On-site,python,data analyst
210,Data Analyst (m/w/d),Mulheim an der Ruhr,Germany,Charisma-Tec GmbH,1-10,Human Resources Services,2023-05-17,11.0,On-site,sql,data analyst
210,Data Analyst (m/w/d),Mulheim an der Ruhr,Germany,Charisma-Tec GmbH,1-10,Human Resources Services,2023-05-17,11.0,On-site,панель управления,data analyst
210,Data Analyst (m/w/d),Mulheim an der Ruhr,Germany,Charisma-Tec GmbH,1-10,Human Resources Services,2023-05-17,11.0,On-site,анализ данных,data analyst
211,Data Governance Analyst,Amsterdam,Netherlands,Bynder,"501-1,000",Software Development,2023-05-09,37.0,Hybrid,качество данных,data analyst
211,Data Governance Analyst,Amsterdam,Netherlands,Bynder,"501-1,000",Software Development,2023-05-09,37.0,Hybrid,моделирование данных,data analyst
212,Business Intelligence Consultant/Lead,,Poland,SalesTube,51-200,Advertising Services,2023-04-25,73.0,Remote,big query,business analyst
212,Business Intelligence Consultant/Lead,,Poland,SalesTube,51-200,Advertising Services,2023-04-25,73.0,Remote,google analytics,business analyst
212,Business Intelligence Consultant/Lead,,Poland,SalesTube,51-200,Advertising Services,2023-04-25,73.0,Remote,google cloud platform,business analyst
212,Business Intelligence Consultant/Lead,,Poland,SalesTube,51-200,Advertising Services,2023-04-25,73.0,Remote,google workspace,business analyst
212,Business Intelligence Consultant/Lead,,Poland,SalesTube,51-200,Advertising Services,2023-04-25,73.0,Remote,power bi,business analyst
212,Business Intelligence Consultant/Lead,,Poland,SalesTube,51-200,Advertising Services,2023-04-25,73.0,Remote,tableau,business analyst
212,Business Intelligence Consultant/Lead,,Poland,SalesTube,51-200,Advertising Services,2023-04-25,73.0,Remote,tealium,business analyst
212,Business Intelligence Consultant/Lead,,Poland,SalesTube,51-200,Advertising Services,2023-04-25,73.0,Remote,sql,business analyst
212,Business Intelligence Consultant/Lead,,Poland,SalesTube,51-200,Advertising Services,2023-04-25,73.0,Remote,salesforce.com,business analyst
213,Data Analyst (H/F),Lille,France,Web Transition,51-200,Internet Publishing,2023-05-16,80.0,On-site,sql,data analyst
213,Data Analyst (H/F),Lille,France,Web Transition,51-200,Internet Publishing,2023-05-16,80.0,On-site,управление проектами,data analyst
213,Data Analyst (H/F),Lille,France,Web Transition,51-200,Internet Publishing,2023-05-16,80.0,On-site,аналитические навыки,data analyst
214,Product Data Analyst,Zwaagdijk-Oost,Netherlands,Action,"10,001+",Retail,2023-05-16,51.0,,excel,data analyst
214,Product Data Analyst,Zwaagdijk-Oost,Netherlands,Action,"10,001+",Retail,2023-05-16,51.0,,sap,data analyst
214,Product Data Analyst,Zwaagdijk-Oost,Netherlands,Action,"10,001+",Retail,2023-05-16,51.0,,sql,data analyst
214,Product Data Analyst,Zwaagdijk-Oost,Netherlands,Action,"10,001+",Retail,2023-05-16,51.0,,соглашения об уровне услуг,data analyst
214,Product Data Analyst,Zwaagdijk-Oost,Netherlands,Action,"10,001+",Retail,2023-05-16,51.0,,панель управления,data analyst
215,Data Analyst,Heerlen,Netherlands,"GXO Logistics, Inc.","10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-16,247.0,On-site,excel,data analyst
215,Data Analyst,Heerlen,Netherlands,"GXO Logistics, Inc.","10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-16,247.0,On-site,панель управления,data analyst
215,Data Analyst,Heerlen,Netherlands,"GXO Logistics, Inc.","10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-16,247.0,On-site,коммуникация,data analyst
216,Sales Data Analyst,Hatfield,United Kingdom,Crisp Recruitment Ltd,1-10,Staffing and Recruiting,2023-05-02,8.0,On-site,sap,data analyst
217,Salesforce Data Analyst (f/m/d),Warsaw,Poland,Awin Global,"1,001-5,000",Advertising Services,2023-05-18,71.0,,google analytics,data analyst
217,Salesforce Data Analyst (f/m/d),Warsaw,Poland,Awin Global,"1,001-5,000",Advertising Services,2023-05-18,71.0,,powerbi,data analyst
217,Salesforce Data Analyst (f/m/d),Warsaw,Poland,Awin Global,"1,001-5,000",Advertising Services,2023-05-18,71.0,,salesforce,data analyst
217,Salesforce Data Analyst (f/m/d),Warsaw,Poland,Awin Global,"1,001-5,000",Advertising Services,2023-05-18,71.0,,sql,data analyst
217,Salesforce Data Analyst (f/m/d),Warsaw,Poland,Awin Global,"1,001-5,000",Advertising Services,2023-05-18,71.0,,tableau,data analyst
217,Salesforce Data Analyst (f/m/d),Warsaw,Poland,Awin Global,"1,001-5,000",Advertising Services,2023-05-18,71.0,,критическое мышление,data analyst
217,Salesforce Data Analyst (f/m/d),Warsaw,Poland,Awin Global,"1,001-5,000",Advertising Services,2023-05-18,71.0,,панель управления,data analyst
218,Senior Data Analyst,Paris,France,InVivo Digital Factory,51-200,IT Services and IT Consulting,2023-05-16,138.0,Hybrid,azure,data analyst
218,Senior Data Analyst,Paris,France,InVivo Digital Factory,51-200,IT Services and IT Consulting,2023-05-16,138.0,Hybrid,metabase,data analyst
218,Senior Data Analyst,Paris,France,InVivo Digital Factory,51-200,IT Services and IT Consulting,2023-05-16,138.0,Hybrid,power bi,data analyst
218,Senior Data Analyst,Paris,France,InVivo Digital Factory,51-200,IT Services and IT Consulting,2023-05-16,138.0,Hybrid,анализ данных,data analyst
218,Senior Data Analyst,Paris,France,InVivo Digital Factory,51-200,IT Services and IT Consulting,2023-05-16,138.0,Hybrid,аналитические навыки,data analyst
219,Consultant BI Lyon - H/F,Lyon,France,Lincoln France,201-500,Information Technology & Services,2023-05-02,233.0,On-site,power bi,другое
219,Consultant BI Lyon - H/F,Lyon,France,Lincoln France,201-500,Information Technology & Services,2023-05-02,233.0,On-site,python,другое
219,Consultant BI Lyon - H/F,Lyon,France,Lincoln France,201-500,Information Technology & Services,2023-05-02,233.0,On-site,sql,другое
219,Consultant BI Lyon - H/F,Lyon,France,Lincoln France,201-500,Information Technology & Services,2023-05-02,233.0,On-site,tableau,другое
219,Consultant BI Lyon - H/F,Lyon,France,Lincoln France,201-500,Information Technology & Services,2023-05-02,233.0,On-site,qlik sense,другое
219,Consultant BI Lyon - H/F,Lyon,France,Lincoln France,201-500,Information Technology & Services,2023-05-02,233.0,On-site,панель управления,другое
220,Sales & Business Analyst,Hamburg,Germany,Movado Group Deutschland G.m.b.H.,,Apparel & Fashion,2023-04-25,92.0,Hybrid,excel,business analyst
220,Sales & Business Analyst,Hamburg,Germany,Movado Group Deutschland G.m.b.H.,,Apparel & Fashion,2023-04-25,92.0,Hybrid,tableau,business analyst
220,Sales & Business Analyst,Hamburg,Germany,Movado Group Deutschland G.m.b.H.,,Apparel & Fashion,2023-04-25,92.0,Hybrid,sap,business analyst
220,Sales & Business Analyst,Hamburg,Germany,Movado Group Deutschland G.m.b.H.,,Apparel & Fashion,2023-04-25,92.0,Hybrid,английский язык,business analyst
221,Corporate Product Master Specialist/Data Analyst,Milan,Italy,Mapei,"10,001+",Chemical Manufacturing,2023-05-19,9.0,Hybrid, ai,data analyst
221,Corporate Product Master Specialist/Data Analyst,Milan,Italy,Mapei,"10,001+",Chemical Manufacturing,2023-05-19,9.0,Hybrid,excel,data analyst
221,Corporate Product Master Specialist/Data Analyst,Milan,Italy,Mapei,"10,001+",Chemical Manufacturing,2023-05-19,9.0,Hybrid,informatica,data analyst
221,Corporate Product Master Specialist/Data Analyst,Milan,Italy,Mapei,"10,001+",Chemical Manufacturing,2023-05-19,9.0,Hybrid,new product rollout,data analyst
221,Corporate Product Master Specialist/Data Analyst,Milan,Italy,Mapei,"10,001+",Chemical Manufacturing,2023-05-19,9.0,Hybrid,обмен электронными данными,data analyst
222,Data Analyst,Harlestone,United Kingdom,ACS Recruitment Solutions,11-50,Staffing and Recruiting,2023-05-22,11.0,On-site,,data analyst
223,CONSULTANT BI / MSBI  F/H,Nanterre,France,Experteam,51-200,IT Services and IT Consulting,2023-05-16,90.0,Hybrid,qlikview,другое
223,CONSULTANT BI / MSBI  F/H,Nanterre,France,Experteam,51-200,IT Services and IT Consulting,2023-05-16,90.0,Hybrid,tableau,другое
223,CONSULTANT BI / MSBI  F/H,Nanterre,France,Experteam,51-200,IT Services and IT Consulting,2023-05-16,90.0,Hybrid,анализ данных,другое
223,CONSULTANT BI / MSBI  F/H,Nanterre,France,Experteam,51-200,IT Services and IT Consulting,2023-05-16,90.0,Hybrid,обучение,другое
224,Data Analist,Hook of Holland,Netherlands,Progressive Recruitment,201-500,Staffing and Recruiting,2023-05-02,55.0,Hybrid,data warehouse,data analyst
224,Data Analist,Hook of Holland,Netherlands,Progressive Recruitment,201-500,Staffing and Recruiting,2023-05-02,55.0,Hybrid,sql,data analyst
224,Data Analist,Hook of Holland,Netherlands,Progressive Recruitment,201-500,Staffing and Recruiting,2023-05-02,55.0,Hybrid,бизнес-требования,data analyst
224,Data Analist,Hook of Holland,Netherlands,Progressive Recruitment,201-500,Staffing and Recruiting,2023-05-02,55.0,Hybrid,business analysis,data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,aws,data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,elasticsearch,data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,javascript,data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,kafka,data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,lambda,data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,python,data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,sql,data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,tableau,data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,amazon elastic mapreduce (emr),data analyst
225,Data Analyst (Slovakia) IRC183410,Banska Bystrica,Germany,GlobalLogic,"10,001+",Software Development,2023-05-09,9.0,Hybrid,amazon kinesis,data analyst
226,BI Analyst (m/w/d) Marketing,Munich,Germany,DocMorris Deutschland,201-500,Pharmaceutical Manufacturing,2023-05-16,86.0,Hybrid,power bi,analyst
226,BI Analyst (m/w/d) Marketing,Munich,Germany,DocMorris Deutschland,201-500,Pharmaceutical Manufacturing,2023-05-16,86.0,Hybrid,spss,analyst
226,BI Analyst (m/w/d) Marketing,Munich,Germany,DocMorris Deutschland,201-500,Pharmaceutical Manufacturing,2023-05-16,86.0,Hybrid,tableau,analyst
226,BI Analyst (m/w/d) Marketing,Munich,Germany,DocMorris Deutschland,201-500,Pharmaceutical Manufacturing,2023-05-16,86.0,Hybrid,qlikview,analyst
226,BI Analyst (m/w/d) Marketing,Munich,Germany,DocMorris Deutschland,201-500,Pharmaceutical Manufacturing,2023-05-16,86.0,Hybrid,средства бизнес-аналитики,analyst
227,Data Analyst Power BI (m/w/d),Nuremberg,Germany,Paessler AG,201-500,Software Development,2023-05-02,68.0,Hybrid,etl,data analyst
227,Data Analyst Power BI (m/w/d),Nuremberg,Germany,Paessler AG,201-500,Software Development,2023-05-02,68.0,Hybrid,sql,data analyst
227,Data Analyst Power BI (m/w/d),Nuremberg,Germany,Paessler AG,201-500,Software Development,2023-05-02,68.0,Hybrid,microsoft power bi,data analyst
227,Data Analyst Power BI (m/w/d),Nuremberg,Germany,Paessler AG,201-500,Software Development,2023-05-02,68.0,Hybrid,английский язык,data analyst
228,Business Intelligence Consultant,Oslo,Norway,Inmeta,201-500,IT Services and IT Consulting,2023-05-09,168.0,Hybrid, ai,business analyst
228,Business Intelligence Consultant,Oslo,Norway,Inmeta,201-500,IT Services and IT Consulting,2023-05-09,168.0,Hybrid,aws,business analyst
228,Business Intelligence Consultant,Oslo,Norway,Inmeta,201-500,IT Services and IT Consulting,2023-05-09,168.0,Hybrid,azure,business analyst
228,Business Intelligence Consultant,Oslo,Norway,Inmeta,201-500,IT Services and IT Consulting,2023-05-09,168.0,Hybrid,etl,business analyst
228,Business Intelligence Consultant,Oslo,Norway,Inmeta,201-500,IT Services and IT Consulting,2023-05-09,168.0,Hybrid,snowflake,business analyst
228,Business Intelligence Consultant,Oslo,Norway,Inmeta,201-500,IT Services and IT Consulting,2023-05-09,168.0,Hybrid,sql,business analyst
228,Business Intelligence Consultant,Oslo,Norway,Inmeta,201-500,IT Services and IT Consulting,2023-05-09,168.0,Hybrid,ssis,business analyst
229,Data analyst | Deals (M&A) | CDI | H/F,Neuilly-sur-Seine,France,PwC France,"5,001-10,000",Financial Services,2023-05-09,150.0,On-site,excel,data analyst
229,Data analyst | Deals (M&A) | CDI | H/F,Neuilly-sur-Seine,France,PwC France,"5,001-10,000",Financial Services,2023-05-09,150.0,On-site,powerbi,data analyst
229,Data analyst | Deals (M&A) | CDI | H/F,Neuilly-sur-Seine,France,PwC France,"5,001-10,000",Financial Services,2023-05-09,150.0,On-site,powerpivot,data analyst
229,Data analyst | Deals (M&A) | CDI | H/F,Neuilly-sur-Seine,France,PwC France,"5,001-10,000",Financial Services,2023-05-09,150.0,On-site,powerquery,data analyst
229,Data analyst | Deals (M&A) | CDI | H/F,Neuilly-sur-Seine,France,PwC France,"5,001-10,000",Financial Services,2023-05-09,150.0,On-site,python,data analyst
229,Data analyst | Deals (M&A) | CDI | H/F,Neuilly-sur-Seine,France,PwC France,"5,001-10,000",Financial Services,2023-05-09,150.0,On-site,tableau,data analyst
229,Data analyst | Deals (M&A) | CDI | H/F,Neuilly-sur-Seine,France,PwC France,"5,001-10,000",Financial Services,2023-05-09,150.0,On-site,microsoft power query,data analyst
229,Data analyst | Deals (M&A) | CDI | H/F,Neuilly-sur-Seine,France,PwC France,"5,001-10,000",Financial Services,2023-05-09,150.0,On-site,визуализация данных,data analyst
230,Data Analyst (Assortment),Szczecin,Poland,AUTODOC,"5,001-10,000","Technology, Information and Internet",2023-05-16,47.0,Hybrid,data mining,data analyst
230,Data Analyst (Assortment),Szczecin,Poland,AUTODOC,"5,001-10,000","Technology, Information and Internet",2023-05-16,47.0,Hybrid,excel,data analyst
230,Data Analyst (Assortment),Szczecin,Poland,AUTODOC,"5,001-10,000","Technology, Information and Internet",2023-05-16,47.0,Hybrid,python,data analyst
230,Data Analyst (Assortment),Szczecin,Poland,AUTODOC,"5,001-10,000","Technology, Information and Internet",2023-05-16,47.0,Hybrid,анализ данных,data analyst
230,Data Analyst (Assortment),Szczecin,Poland,AUTODOC,"5,001-10,000","Technology, Information and Internet",2023-05-16,47.0,Hybrid,sql,data analyst
231,Wavemaker I Data Analyst with Python,Warsaw,Poland,Wavemaker Poland,201-500,Advertising Services,2023-05-19,96.0,Hybrid,python,data analyst
231,Wavemaker I Data Analyst with Python,Warsaw,Poland,Wavemaker Poland,201-500,Advertising Services,2023-05-19,96.0,Hybrid, r ,data analyst
231,Wavemaker I Data Analyst with Python,Warsaw,Poland,Wavemaker Poland,201-500,Advertising Services,2023-05-19,96.0,Hybrid,statistics,data analyst
231,Wavemaker I Data Analyst with Python,Warsaw,Poland,Wavemaker Poland,201-500,Advertising Services,2023-05-19,96.0,Hybrid,математика,data analyst
231,Wavemaker I Data Analyst with Python,Warsaw,Poland,Wavemaker Poland,201-500,Advertising Services,2023-05-19,96.0,Hybrid,agile software development,data analyst
232,Data Analyst Telco,Milan,Italy,AGS S.​p.​A.​,"501-1,000",IT Services and IT Consulting,2023-05-09,138.0,Hybrid, ai,data analyst
232,Data Analyst Telco,Milan,Italy,AGS S.​p.​A.​,"501-1,000",IT Services and IT Consulting,2023-05-09,138.0,Hybrid,excel,data analyst
232,Data Analyst Telco,Milan,Italy,AGS S.​p.​A.​,"501-1,000",IT Services and IT Consulting,2023-05-09,138.0,Hybrid,sql,data analyst
232,Data Analyst Telco,Milan,Italy,AGS S.​p.​A.​,"501-1,000",IT Services and IT Consulting,2023-05-09,138.0,Hybrid,английский язык,data analyst
232,Data Analyst Telco,Milan,Italy,AGS S.​p.​A.​,"501-1,000",IT Services and IT Consulting,2023-05-09,138.0,Hybrid,powerpoint,data analyst
233,Junior Insight Analyst,Budapest,Hungary,NielsenIQ,"10,001+",Information Services,2023-05-09,178.0,On-site,excel,analyst
233,Junior Insight Analyst,Budapest,Hungary,NielsenIQ,"10,001+",Information Services,2023-05-09,178.0,On-site,data interpretation,analyst
233,Junior Insight Analyst,Budapest,Hungary,NielsenIQ,"10,001+",Information Services,2023-05-09,178.0,On-site,презентации,analyst
234,Data Analyst H/F H/F,Villes,France,Inetum,"10,001+",IT Services and IT Consulting,2023-05-16,204.0,On-site,data warehouse,data analyst
234,Data Analyst H/F H/F,Villes,France,Inetum,"10,001+",IT Services and IT Consulting,2023-05-16,204.0,On-site,excel,data analyst
234,Data Analyst H/F H/F,Villes,France,Inetum,"10,001+",IT Services and IT Consulting,2023-05-16,204.0,On-site,python,data analyst
234,Data Analyst H/F H/F,Villes,France,Inetum,"10,001+",IT Services and IT Consulting,2023-05-16,204.0,On-site,sas,data analyst
234,Data Analyst H/F H/F,Villes,France,Inetum,"10,001+",IT Services and IT Consulting,2023-05-16,204.0,On-site,vba,data analyst
234,Data Analyst H/F H/F,Villes,France,Inetum,"10,001+",IT Services and IT Consulting,2023-05-16,204.0,On-site,application services,data analyst
235,Online Data Analyst,Doncaster,United Kingdom,TELUS International,"10,001+",IT Services and IT Consulting,2023-05-18,21.0,Remote, ai,data analyst
236,Data Analyst (m/w/d) im Controlling,Hamburg,Germany,Hapag-Lloyd AG,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-17,68.0,On-site,qlik,data analyst
236,Data Analyst (m/w/d) im Controlling,Hamburg,Germany,Hapag-Lloyd AG,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-17,68.0,On-site,sql,data analyst
