,target
427,0.05714285714285714
428,0.5
429,0.39655172413793105
430,0.4
431,0.5
432,0.24390243902439024
433,0.24050632911392406
434,0.5806451612903226
435,0.3194444444444444
436,0.1111111111111111
437,0.26666666666666666
438,0.09090909090909091
439,0.5952380952380952
440,0.05
441,0.7142857142857143
442,0.09142857142857143
443,0.6153846153846154
444,0.12087912087912088
445,0.375
446,0.08108108108108109
447,0.23809523809523808
448,0.47619047619047616
449,0.019417475728155338
450,0.4444444444444444
451,0.5943396226415094
452,0.2903225806451613
453,0.2608695652173913
454,0.029197080291970802
455,0.358974358974359
456,0.125
457,1.0
458,0.35714285714285715
459,0.631578947368421
460,0.64
461,0.3888888888888889
462,0.375
463,0.6126760563380281
464,0.1875
465,0.23809523809523808
466,0.4
467,0.2
468,0.08196721311475409
469,0.6666666666666666
470,0.56
471,0.4
472,0.32075471698113206
473,0.26
474,0.11764705882352941
475,0.5714285714285714
476,0.38461538461538464
477,0.5769230769230769
478,0.5918367346938775
479,0.21428571428571427
480,0.4827586206896552
481,0.5
482,0.14893617021276595
483,0.14583333333333334
484,0.3023255813953488
485,0.2857142857142857
486,0.2708333333333333
487,0.46153846153846156
488,0.75
489,0.26666666666666666
490,0.15384615384615385
491,1.0
492,0.8028169014084507
493,1.0
494,0.4117647058823529
